%1 transaction(s) could not be unbooked.,%1 Transaktion(en) konnten nicht rückgängig gemacht werden.
"%1 transaction(s) have been successfully unbooked, %2 failed.","%1 Transaktion(en) wurden erfolgreich rückgängig gemacht, %2 sind fehlgeschlagen."
%1 transaction(s) have been unbooked successfully.,%1 Transaktion(en) wurden erfolgreich rückgängig gemacht.
"%1 transactions have been booked successfully, %2 have failed.","%1 Transaktionen wurden erfolgreich gebucht, %2 sind fehlgeschlagen."
%1 transactions have been booked successfully.,%1 Transaktionen wurden erfolgreich gebucht.
≡ Details,≡ Details
✓ Book,✓ Buchen
✓ Partial book,✓ Partiell buchen
✖ Delete,✖ Löschen
⤺ Undo,⤺ Rückgängig
📁 Archive,📁 Archivieren
🔍 Search,🔍 Suchen
🖉 Edit comment,🖉 Kommentar bearbeiten
Acceptance Threshold,Akzeptanzschwelle
All (%1) transactions have failed.,Alle (%1) Transaktionen sind fehlgeschlagen.
Amount,Betrag
Amount Threshold,Betragsschwelle
An error occurred while deleting the format.,Ein Fehler ist beim Löschen des Formats aufgetreten.
An error occurred while saving the format.,Ein Fehler ist beim Speichern des Formats aufgetreten.
An error occurred while saving the transaction.,Ein Fehler ist beim Speichern der Transaktion aufgetreten.
"Any number. The higher the weight, the more important the field is.","Beliebige Zahl. Je höher das Gewicht, desto wichtiger ist das Feld."
Archive,Archivieren
Unarchive,Un-Archivieren
"Archive ""%1""","""%1"" archivieren"
Archive transaction,Transaktion archivieren
Archived At,Archiviert am
Are you sure to book selected transactions?,"Sind Sie sicher, dass die ausgewählten Transaktionen gebucht werden sollen?"
Are you sure to delete selected transactions?,"Sind Sie sicher, dass die ausgewählten Transaktionen gelöscht werden sollen?"
Are you sure to unbook selected transactions?,"Sind Sie sicher, dass die ausgewählten Transaktionen storniert werden sollen?"
"Are you sure you want to archive the record ""%1""?","Sind Sie sicher, dass Sie den Eintrag ""%1"" archivieren wollen?"
"Are you sure you want to delete the record ""%1""?","Sind Sie sicher, dass Sie den Eintrag ""%1"" löschen wollen?"
Are you sure you want to do this?,Sind Sie sicher?
Are you want to print the selected?,"Sind Sie sicher, dass Sie die ausgewählten drucken wollen?"
Are you want to send the selected dunnings via mail?,"Sind Sie sicher, dass Sie die ausgewählten verschicken wollen?"
Async Matching,Asynchrones Abgleichen
Attach PDF to mail,PDF an Mail anhängen
Automatically send dunnings via mail,Mahnungen automatisch per Mail senden
Back,Zurück
BankSync,BankSync
BankSynced,Zahlungseingang
Book,Buchen
Book all green lines,Alle grünen Zeilen buchen
Booked Transactions,Gebuchte Transaktionen
Booking Date,Buchungsdatum
Comment,Kommentar
Confidence,Vertrauen
Create,Erstellen
Created At,Erstellt am
CSV file has been imported successfully.,CSV-Datei wurde erfolgreich importiert.
Csv Format,Csv Format
CSV Format,CSV Format
CSV format not found.,CSV format nicht gefunden.
Csv Formats,Csv Formate
CSV Settings,CSV-Einstellungen
Customer Increment ID,Kd.Nr.
Customer Increment Id,Kd.Nr.
Customer Nr Pattern,Kunden Nr. Muster
Date Threshold,Datumschwelle
Decimal Separator,Dezimaltrennzeichen
Delay,Verzögerung
